step,train_loss,val_loss,learning_rate,temperature,grad_norm,step_time_sec
143,4.8503,,1.430000e-04,0.0704,0.3320,1.2479
186,4.8425,,1.860000e-04,0.0705,0.4656,1.4523
144,4.8596,,1.440000e-04,0.0704,0.3586,1.4684
187,4.8331,,1.870000e-04,0.0705,0.3869,1.0759
145,4.8514,,1.450000e-04,0.0704,0.4053,1.1876
188,4.8455,,1.880000e-04,0.0705,0.3605,1.1403
146,4.8590,,1.460000e-04,0.0704,0.3515,1.2215
189,4.8421,,1.890000e-04,0.0705,0.3490,1.0983
147,4.8451,,1.470000e-04,0.0704,0.3217,1.1136
190,4.8395,,1.900000e-04,0.0706,0.3286,1.0964
148,4.8456,,1.480000e-04,0.0704,0.2905,1.1316
